set_id,user_id,date,week_index_user,week_type,acwr,session_tag,exercise_id,set_index,reps_target,reps_done,load_intended_kg,load_done_kg,rpe_done,rest_planned_sec,rir_target,feedback,workout_id
0002S0000001,2,2025-06-10,1,normal,1.05,FullBody,20,1,8,7,27.5,24.5,2.0,120.0,4.0,,77.0
0002S0000002,2,2025-06-10,1,normal,1.05,FullBody,20,2,10,12,27.5,22.25,,120.0,4.0,,77.0
0002S0000003,2,2025-06-10,1,normal,1.05,FullBody,20,3,9,10,27.5,21.75,7.5,120.0,4.0,,77.0
0002S0000004,2,2025-06-10,1,normal,1.05,FullBody,19,1,6,5,27.5,27.0,6.0,180.0,2.0,,77.0
0002S0000005,2,2025-06-10,1,normal,1.05,FullBody,19,2,10,11,27.5,23.5,10.0,180.0,2.0,,77.0
0002S0000006,2,2025-06-10,1,normal,1.05,FullBody,19,3,10,9,27.5,22.75,6.0,180.0,2.0,,77.0
0002S0000007,2,2025-06-10,1,normal,1.05,FullBody,19,4,7,6,27.5,25.5,7.5,180.0,2.0,,77.0
0002S0000008,2,2025-06-10,1,normal,1.05,FullBody,19,5,12,13,27.5,21.25,7.0,180.0,2.0,,77.0
0002S0000009,2,2025-06-10,1,normal,1.05,FullBody,19,6,6,6,27.5,26.75,7.0,180.0,2.0,,77.0
0002S0000010,2,2025-06-10,1,normal,1.05,FullBody,19,7,10,8,27.5,20.5,4.5,180.0,2.0,,77.0
0002S0000011,2,2025-06-23,3,normal,0.930268720043836,FullBody,20,1,11,10,28.25,20.25,6.5,90.0,3.0,,81.0
0002S0000012,2,2025-06-23,3,normal,0.930268720043836,FullBody,20,2,8,9,28.25,24.75,8.5,90.0,3.0,,81.0
0002S0000013,2,2025-06-23,3,normal,0.930268720043836,FullBody,20,3,12,12,28.25,19.75,3.0,90.0,3.0,,81.0
0002S0000014,2,2025-06-23,3,normal,0.930268720043836,FullBody,20,4,7,5,28.25,24.75,7.5,90.0,3.0,,81.0
0002S0000015,2,2025-06-23,3,normal,0.930268720043836,FullBody,19,1,9,9,22.0,21.25,3.5,120.0,4.0,,81.0
0002S0000016,2,2025-06-23,3,normal,0.930268720043836,FullBody,19,2,6,7,22.0,23.0,5.0,120.0,4.0,,81.0
0002S0000017,2,2025-06-23,3,normal,0.930268720043836,FullBody,19,3,6,6,22.0,23.75,5.0,120.0,4.0,,81.0
0002S0000018,2,2025-06-24,3,normal,0.930268720043836,FullBody,20,1,9,8,24.0,21.75,3.5,90.0,4.0,,82.0
0002S0000019,2,2025-06-24,3,normal,0.930268720043836,FullBody,20,2,10,11,24.0,21.25,7.0,90.0,4.0,,82.0
0002S0000020,2,2025-06-24,3,normal,0.930268720043836,FullBody,20,3,9,8,24.0,22.0,6.0,90.0,4.0,,82.0
0002S0000021,2,2025-06-24,3,normal,0.930268720043836,FullBody,20,4,7,7,24.0,23.5,8.0,90.0,4.0,,82.0
0002S0000022,2,2025-06-24,3,normal,0.930268720043836,FullBody,20,5,7,7,24.0,24.0,2.5,90.0,4.0,,82.0
0002S0000023,2,2025-06-24,3,normal,0.930268720043836,FullBody,19,1,9,7,23.75,20.75,6.0,180.0,4.0,,82.0
0002S0000024,2,2025-06-24,3,normal,0.930268720043836,FullBody,19,2,7,8,23.75,22.25,3.5,180.0,4.0,,82.0
0002S0000025,2,2025-06-24,3,normal,0.930268720043836,FullBody,19,3,12,14,23.75,20.0,9.5,180.0,4.0,,82.0
0002S0000026,2,2025-06-24,3,normal,0.930268720043836,FullBody,19,4,12,13,23.75,18.75,3.5,180.0,4.0,,82.0
